,Título,Zona,Precio,M2,Habitaciones,Baños,Terraza,Amueblado,Parking,Link,Latitud,Longitud,idZona,TerrazaBin
12,Alquiler loft ¡gran oportunidad en gran via de les corts catalanes! en Barcelona,Hostafrancs,640.0,23.0,1,1,nan,,,https://www.habitaclia.com/alquiler-loft-gran_oportunidad_en_gran_via_de_les_corts_catalanes_hostafrancs-barcelona-i30305000000162.htm?pag=2&f=&geo=p&from=list&lo=55,41.37152,2.14405,15,0
13,Alquiler piso ático amueblado a estrenar de 2 habitaciones en el eixample izquierdo en Barcelona,Esquerra Alta de l´Eixample,1750.0,102.0,2,2,Terraza 34 m,Amueblado ,,https://www.habitaclia.com/alquiler-piso-atico_amueblado_a_estrenar_de_2_habitaciones_en_el_eixample_izqu_esquerra_alta_de_l_eixample-barcelona-i4737003790961.htm?pag=2&f=&geo=p&from=list&lo=55,41.386,2.15003,08,1
14,Alquiler piso en Sant Gervasi - Bonanova Barcelona,Sant Gervasi - Bonanova,1800.0,180.0,3,3,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-piso-sant_gervasi_bonanova-barcelona-i1097003862614.htm?pag=1&f=&geo=p&from=list&lo=55,41.4032279411,2.1313886667,25,0
15,Alquiler piso moderno y elegante apartamento en alquiler en sant gervasi en Barcelona,Sant Gervasi - Galvany,1795.0,138.0,2,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-moderno_y_elegante_apartamento_en_en_sant_gervasi_sant_gervasi_galvany-barcelona-i27758000000448.htm?pag=1&f=&geo=p&from=list&lo=55,41.39897,2.14749,26,0
16,Alquiler piso reformado con amplia terraza en Camp d´en Grassot - Gràcia N. Barcelona,Camp d´en Grassot - Gràcia N.,1090.0,78.0,2,1,Terraza 15 m,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-reformado_con_amplia_terraza_camp_d_en_grassot_gracia_n-barcelona-i5086002118558.htm?pag=2&f=&geo=p&from=list&lo=55,41.4052828946,2.1651013286,32,1
17,"Alquiler piso  en alquiler de cuatro habitaciones sin amueblar a estrenar, en Barcelona",Fort Pienc,1800.0,150.0,4,2,nan,,,https://www.habitaclia.com/alquiler-piso-en_de_cuatro_habitaciones_sin_amueblar_a_estrenar_fort_pienc-barcelona-i4737003794054.htm?pag=2&f=&geo=p&from=list&lo=55,41.396,2.17778,05,0
19,Alquiler piso amueblado y equipado en Vila de Gràcia Barcelona,Vila de Gràcia,1200.0,66.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_y_equipado_vila_de_gracia-barcelona-i14157004082558.htm?pag=2&f=&geo=p&from=list&lo=55,41.3968413396,2.1579827299,31,0
20,Alquiler piso en carrer angli fabuloso piso en alquiler!! en Barcelona,Tres Torres,1850.0,110.0,3,2,nan,,,https://www.habitaclia.com/alquiler-piso-fabuloso_en_calle_angli_7_tres_torres-barcelona-i1097004046218.htm?pag=1&f=&geo=p&from=list&lo=55,41.398545,2.1271112,24,0
23,Alquiler piso  muy luminoso en Vall d´Hebron Barcelona,Vall d´Hebron,875.0,62.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-muy_luminoso_vall_d_hebron-barcelona-i5715003554058.htm?pag=2&f=&geo=p&from=list&lo=55,41.4297907602,2.1529949994,41,0
24,Alquiler piso  totalmente reformadao en bonanova Tres Torres en Barcelona,Tres Torres,3360.0,150.0,4,3,nan,,,https://www.habitaclia.com/alquiler-piso-totalmente_reformadao_en_bonanova_tres_torres_tres_torres-barcelona-i4737003791493.htm?pag=2&f=&geo=p&from=list&lo=55,41.4025,2.12623,24,0
25,Alquiler piso en carrer ros de olano 3 hab--calefaccion-amueblado en Barcelona,Vila de Gràcia,920.0,65.0,3,1,Balcón / Terraza 3 m,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-3_hab_calefaccion_amueblado_calle_ros_de_olano_12_vila_de_gracia-barcelona-i10190003411633.htm?pag=2&f=&geo=p&from=list&lo=55,41.4013462,2.1554012,31,1
26,Alquiler piso  en alquiler recién reformado de 5 habitaciones en paseo de la bonanova en Barcelona,Tres Torres,2430.0,130.0,5,2,nan,,,https://www.habitaclia.com/alquiler-piso-en_recien_reformado_de_5_habitaciones_en_paseo_de_tres_torres-barcelona-i4737003791340.htm?pag=2&f=&geo=p&from=list&lo=55,41.4025,2.12623,24,0
27,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781095.htm?pag=790&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
28,Alquiler piso  seminuevo en alquiler en Tres Torres Barcelona,Tres Torres,1500.0,80.0,2,2,nan,,,https://www.habitaclia.com/alquiler-piso-seminuevo_en_tres_torres-barcelona-i4737003794185.htm?pag=2&f=&geo=p&from=list&lo=55,41.3945,2.13241,24,0
29,Alquiler piso en carrer rull amueblado y equipado con balcón en Barcelona,Gòtic,700.0,35.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_y_equipado_con_balcon_calle_rull_5_gotic-barcelona-i14157002819490.htm?pag=2&f=&geo=p&from=list&lo=55,41.3795638,2.1775356,02,0
30,Alquiler dúplex  obra nueva en les corts en Barcelona,Sant Ramon - Maternitat,1850.0,150.0,2,3,nan,,,https://www.habitaclia.com/alquiler-duplex-obra_nueva_en_les_corts_sant_ramon_maternitat-barcelona-i4737003788559.htm?pag=2&f=&geo=p&from=list&lo=55,41.38,2.12819,20,0
32,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781099.htm?pag=790&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
33,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781098.htm?pag=790&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
34,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781097.htm?pag=790&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
35,Alquiler apartamento 47m obra nueva en Poblenou Barcelona,Poblenou,1210.0,47.0,2,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-obra_nueva_poblenou-barcelona-i19465004033461.htm?pag=3&f=&geo=p&from=list&lo=55,41.402129961199996,2.2052400162,68,0
36,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781169.htm?pag=789&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
37,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781166.htm?pag=789&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
38,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781164.htm?pag=789&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
39,Alquiler piso en de pedro iv 94 piso con 2 habitaciones en Barcelona,Poblenou,790.0,60.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_de_pedro_iv_94_poblenou-barcelona-i19646000009653.htm?pag=789&f=&geo=p&from=list&lo=55,41.3980478383,2.1940951927000003,68,0
40,Alquiler apartamento  con 2 habitaciones en Barcelona,Esquerra Alta de l´Eixample,1580.0,70.0,2,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_esquerra_alta_de_l_eixample-barcelona-i29635000000044.htm?pag=789&f=&geo=p&from=list&lo=55,41.38834,2.1577,08,0
41,Alquiler piso en carrer de jaume piquet Sarrià / carrer de jaume piquet en Barcelona,Sarrià,900.0,50.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-sarria_carrer_de_jaume_piquet_calle_de_jaume_piquet_1_sarria-barcelona-i500003959534.htm?pag=789&f=&geo=p&from=list&lo=55,41.39761,2.12334,23,0
42,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781168.htm?pag=789&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
43,Alquiler piso en carrer comte de santa clara amueblado y equipado en Barcelona,Barceloneta,690.0,36.0,2,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_y_equipado_calle_comte_de_santa_clara_37_barceloneta-barcelona-i14157004081557.htm?pag=4&f=&geo=p&from=list&lo=55,41.3781172,2.1894188,03,0
44,Alquiler piso en Sarrià Barcelona,Sarrià,1600.0,110.0,4,1,nan,,,https://www.habitaclia.com/alquiler-piso-sarria-barcelona-i27861003930300.htm?pag=788&f=&geo=p&from=list&lo=55,41.4006473,2.1223368,23,0
45,Alquiler piso luminoso piso en el centro de galvany en Barcelona,Sant Gervasi - Galvany,920.0,74.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-luminoso_en_el_centro_de_galvany_sant_gervasi_galvany-barcelona-i855003954399.htm?pag=788&f=&geo=p&from=list&lo=55,41.3971400717,2.1434982129,26,0
46,Alquiler ático reformado a estrenar en Tres Torres Barcelona,Tres Torres,1600.0,80.0,2,2,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-atico-reformado_a_estrenar_tres_torres-barcelona-i3055003952744.htm?pag=788&f=&geo=p&from=list&lo=55,41.395833372199995,2.1312472528999997,24,0
47,Alquiler piso vivienda alta y luminosa en Esquerra Baixa de l´Eixample Barcelona,Esquerra Baixa de l´Eixample,1200.0,121.0,2,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-vivienda_alta_y_luminosa_esquerra_baixa_de_l_eixample-barcelona-i11434004010846.htm?pag=3&f=&geo=p&from=list&lo=55,41.384369918400004,2.1588062644,09,0
48,Alquiler piso en Vila de Gràcia Barcelona,Vila de Gràcia,800.0,50.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-vila_de_gracia-barcelona-i10419004084334.htm?pag=788&f=&geo=p&from=list&lo=55,41.4046196869,2.15302232,31,0
49,Alquiler ático en Guinardó Barcelona,Guinardó,1175.0,76.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-atico-guinardo-barcelona-i6431003915054.htm?pag=788&f=&geo=p&from=list&lo=55,41.418115150700004,2.181585739,43,0
50,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781096.htm?pag=790&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
51,Alquiler apartamento en avinguda roma luminoso y buenas vista avd.roma en Barcelona,Esquerra Baixa de l´Eixample,831.0,45.0,1,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-apartamento-luminoso_y_buenas_vista_avdroma_avenida_roma_120_esquerra_baixa_de_l_eixample-barcelona-i4773004059389.htm?pag=788&f=&geo=p&from=list&lo=55,41.3847254,2.1538793,09,0
52,Alquiler apartamento estudio moderno con cocina compartida. en Barcelona,Raval,1150.0,20.0,1,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-estudio_moderno_con_cocina_compartida_raval-barcelona-i30466000005610.htm?pag=788&f=&geo=p&from=list&lo=55,41.3807613,2.1680844,01,0
53,Alquiler piso apartamento amueblado en sarria en Sarrià Barcelona,Sarrià,1200.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-apartamento_amueblado_en_sarria_sarria-barcelona-i8166003780682.htm?pag=788&f=&geo=p&from=list&lo=55,41.397701,2.122205,23,0
54,Alquiler piso  en alquiler en Sant Gervasi - Galvany en Barcelona,Sant Gervasi - Galvany,1700.0,156.0,4,2,nan,,,https://www.habitaclia.com/alquiler-piso-en_en_sant_gervasi_galvany_sant_gervasi_galvany-barcelona-i4737003794035.htm?pag=7&f=&geo=p&from=list&lo=55,41.398,2.1502214577000003,26,0
57,Alquiler piso en carrer de la palma de sant just 16 exclusiva en la mejor zona del gótico. piso mejor que nuevo. en Barcelona,Gòtic,1000.0,74.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-exclusiva_en_la_mejor_zona_del_gotico_mejor_que_nuevo_calle_de_la_palma_de_sant_just_16_gotic-barcelona-i33028000000009.htm?pag=7&f=&geo=p&from=list&lo=55,41.38197,2.17904,02,0
58,"Alquiler piso  amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Putget - Farró,1500.0,50.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i8166003781161.htm?pag=789&f=&geo=p&from=list&lo=55,41.405909,2.139802,27,0
59,Alquiler piso amplio y luminoso. en Sant Gervasi - Galvany Barcelona,Sant Gervasi - Galvany,1315.0,126.0,4,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-amplio_y_luminoso_sant_gervasi_galvany-barcelona-i4321001279531.htm?pag=11&f=&geo=p&from=list&lo=55,41.4009212768,2.1479412669999998,26,0
60,Alquiler apartamento  amueblado con ascensor en Barcelona,Esquerra Alta de l´Eixample,650.0,30.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-apartamento-amueblado_con_ascensor_esquerra_alta_de_l_eixample-barcelona-i29269000000019.htm?pag=10&f=&geo=p&from=list&lo=55,41.39048,2.14993,08,0
61,Alquiler apartamento piso en alquiler en Poble Sec Barcelona,Poble Sec,850.0,65.0,2,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_poble_sec-barcelona-i5448003970443.htm?pag=10&f=&geo=p&from=list&lo=55,41.374485776,2.1736824497,11,0
62,Alquiler piso  de 1 dormitorio en Sant Gervasi - Bonanova Barcelona,Sant Gervasi - Bonanova,725.0,49.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-de_1_dormitorio_sant_gervasi_bonanova-barcelona-i2345003906939.htm?pag=10&f=&geo=p&from=list&lo=55,41.4030266435,2.135497862,25,0
63,Alquiler apartamento en carrer ases sta maria del mar. reformado en Barcelona,St. Pere - Sta. Caterina - El Born,750.0,58.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-sta_maria_del_mar_reformado_calle_ases_16_st_pere_sta_caterina_el_born-barcelona-i2505004042931.htm?pag=8&f=&geo=p&from=list&lo=55,41.3836585,2.1828882,04,0
64,Alquiler apartamento piso de 2 habitaciones en pleno en Barcelona,Gòtic,900.0,70.0,2,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_de_2_habitaciones_en_pleno_gotic-barcelona-i5433004014763.htm?pag=7&f=&geo=p&from=list&lo=55,41.380332888000005,2.1787542322999998,02,0
65,Alquiler dúplex en carrer canuda junto portal de l´angel en Barcelona,Gòtic,1292.0,95.0,2,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-duplex-junto_portal_de_langel_calle_canuda_31_gotic-barcelona-i1283002676869.htm?pag=8&f=&geo=p&from=list&lo=55,41.3848708,2.1723878,02,0
66,Alquiler piso magnífica vivienda a estrenar en gótico en Barcelona,St. Pere - Sta. Caterina - El Born,3100.0,181.0,3,4,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-magnifica_vivienda_a_estrenar_en_gotico_st_pere_sta_caterina_el_born-barcelona-i8166003732376.htm?pag=8&f=&geo=p&from=list&lo=55,41.38427,2.185557,04,0
67,Alquiler piso muy luminoso...!!!!!!!!!!!!!!! en La Sagrera Barcelona,La Sagrera,875.0,75.0,3,1,nan,,,https://www.habitaclia.com/alquiler-piso-muy_luminoso_la_sagrera-barcelona-i5669004071355.htm?pag=8&f=&geo=p&from=list&lo=55,41.4205149371,2.1869188201,61,0
69,"Alquiler piso  de 115 m2 en alquiler reformado, a estrenar en la zona de les corts. salón-comedor, cocina equipada, lavadero , cuatro dormitorios y tres baños con ducha. finca con servicio de conserjería. parking incluido. excelente ubicación, a 2 minutos de el cor en Barcelona",Sant Ramon - Maternitat,1800.0,113.0,4,3,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-de_115_m2_en_reformado_a_estrenar_en_la_zona_de_l_sant_ramon_maternitat-barcelona-i5903001747825.htm?pag=8&f=&geo=p&from=list&lo=55,41.3832072,2.1275201,20,0
70,Alquiler piso en carrer templers (dels) en Gòtic Barcelona,Gòtic,1000.0,55.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-calle_templers_dels_6_gotic-barcelona-i35445004081350.htm?pag=774&f=&geo=p&from=list&lo=55,41.3815126,2.1777588,02,0
71,Alquiler piso en carrer consell de cent en Dreta de l´Eixample Barcelona,Dreta de l´Eixample,1000.0,85.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-calle_consell_de_cent_280_dreta_de_l_eixample-barcelona-i23900004024272.htm?pag=774&f=&geo=p&from=list&lo=55,41.3892604,2.1636359,07,0
72,Alquiler apartamento  con 2 habitaciones en Barcelona,Esquerra Baixa de l´Eixample,1200.0,85.0,2,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_esquerra_baixa_de_l_eixample-barcelona-i31390000000026.htm?pag=774&f=&geo=p&from=list&lo=55,41.38022,2.15143,09,0
73,Alquiler piso en avinguda de les drassanes el Raval / avinguda de les drassanes en Barcelona,Raval,575.0,30.0,1,1,nan,,,https://www.habitaclia.com/alquiler-piso-el_raval_avinguda_de_les_drassanes_avenida_de_les_drassanes_6_raval-barcelona-i500004017563.htm?pag=774&f=&geo=p&from=list&lo=55,41.37647,2.17508,01,0
74,Alquiler piso en carrer peru en Provençals del Poblenou Barcelona,Provençals del Poblenou,800.0,50.0,2,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-calle_peru_28_provenc_als_del_poblenou-barcelona-i35445004055348.htm?pag=774&f=&geo=p&from=list&lo=55,41.4062327,2.1933362,71,0
76,Alquiler piso  en Barceloneta Barcelona,Barceloneta,580.0,33.0,1,1,nan,,,https://www.habitaclia.com/alquiler-piso-en_barceloneta-barcelona-i33794000000013.htm?pag=775&f=&geo=p&from=list&lo=55,41.3777789,2.1894672,03,0
77,Alquiler piso loft muy luminoso en el centro en Raval Barcelona,Raval,650.0,40.0,1,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-loft_muy_luminoso_en_el_centro_de_raval-barcelona-i14766003120380.htm?pag=772&f=&geo=p&from=list&lo=55,41.383891,2.164416,01,0
78,Alquiler piso espectacular obra joven. en Diagonal Mar - La Mar Bella Barcelona,Diagonal Mar - La Mar Bella,1550.0,115.0,3,2,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-piso-espectacular_obra_joven_diagonal_mar_la_mar_bella-barcelona-i4642004044842.htm?pag=8&f=&geo=p&from=list&lo=55,41.4065558867,2.2116843102,69,0
79,Alquiler piso en carrer floridablanca en Sant Antoni Barcelona,Sant Antoni,1100.0,100.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-calle_floridablanca_91_sant_antoni-barcelona-i35445004055362.htm?pag=772&f=&geo=p&from=list&lo=55,41.3797259,2.1599658,10,0
80,Alquiler piso  con 2 habitaciones amueblado en Barcelona,Barceloneta,690.0,34.0,2,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_barceloneta-barcelona-i33794000000005.htm?pag=773&f=&geo=p&from=list&lo=55,41.3777789,2.1894672,03,0
81,Alquiler apartamento  ideal en ronda general mitre en Barcelona,Putget - Farró,750.0,47.0,1,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-ideal_en_ronda_general_mitre_putget_farro-barcelona-i32801000000026.htm?pag=774&f=&geo=p&from=list&lo=55,41.405546,2.1460383,27,0
82,Alquiler piso  en Poble Sec Barcelona,Poble Sec,750.0,49.0,1,1,nan,,,https://www.habitaclia.com/alquiler-piso-en_poble_sec-barcelona-i33794000000006.htm?pag=774&f=&geo=p&from=list&lo=55,41.37419,2.16725,11,0
83,Alquiler piso  con 2 habitaciones en Poble Sec Barcelona,Poble Sec,650.0,49.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_poble_sec-barcelona-i35393000000008.htm?pag=773&f=&geo=p&from=list&lo=55,41.37178,2.16032,11,0
84,Alquiler piso  con 2 habitaciones en La Bordeta Barcelona,La Bordeta,800.0,64.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_la_bordeta-barcelona-i31823000000017.htm?pag=773&f=&geo=p&from=list&lo=55,41.3706093,2.1365488,16,0
85,Alquiler apartamento en plaça traginers vivienda de 1 hab. amueblada en Barcelona,Gòtic,650.0,40.0,1,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-vivienda_de_1_hab_amueblada_plaza_traginers_4_gotic-barcelona-i23900003956153.htm?pag=773&f=&geo=p&from=list&lo=55,41.3820841,2.1801239,02,0
87,Alquiler piso bonito apartamento de 50 m2 en sant gervasi en Barcelona,Sant Gervasi - Bonanova,890.0,50.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-bonito_apartamento_de_50_m2_en_sant_gervasi_sant_gervasi_bonanova-barcelona-i14766003120247.htm?pag=771&f=&geo=p&from=list&lo=55,41.405162,2.137314,25,0
88,Alquiler planta baja en carrer vinyar para entrar a vivir en Barcelona,Sant Andreu,660.0,55.0,1,2,nan,,,https://www.habitaclia.com/alquiler-planta_baja-para_entrar_a_vivir_calle_vinyar_sant_andreu-barcelona-i500004002813.htm?pag=771&f=&geo=p&from=list&lo=55,41.4423645,2.1832248,60,0
89,Alquiler piso en avda. paral.lel excelente por ubicacion y estado en Barcelona,Poble Sec,830.0,60.0,3,1,nan,,,https://www.habitaclia.com/alquiler-piso-excelente_por_ubicacion_y_estado_avda_parallel_poble_sec-barcelona-i500004037132.htm?pag=771&f=&geo=p&from=list&lo=55,41.3850639,2.1734035,11,0
90,Alquiler piso en St. Pere - Sta. Caterina - El Born Barcelona,St. Pere - Sta. Caterina - El Born,575.0,37.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-st_pere_sta_caterina_el_born-barcelona-i2376002556304.htm?pag=771&f=&geo=p&from=list&lo=55,41.38542,2.17927,04,0
91,Alquiler piso en carrer leiva Hostafrancs / carrer de leiva en Barcelona,Hostafrancs,790.0,44.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-hostafrancs_carrer_de_leiva_calle_leiva_54_hostafrancs-barcelona-i500004078532.htm?pag=771&f=&geo=p&from=list&lo=55,41.3739361,2.1453732,15,0
